s_m,Lat,Lon,curvature,track_width,lateral_offset,boundary_L_m,boundary_R_m,boundary_L_lat,boundary_L_lon,boundary_R_lat,boundary_R_lon
2931.748863,39.237427,-77.968032,0.000627,14.000000,0.672232,2.294373,11.705627,39.237420,-77.968007,39.237464,-77.968159
2934.942489,39.237400,-77.968045,0.000489,14.000000,0.674169,2.280820,11.719180,39.237393,-77.968020,39.237437,-77.968172
2938.136115,39.237373,-77.968058,0.000735,14.000000,0.674861,2.275971,11.724029,39.237366,-77.968033,39.237410,-77.968185
2941.329741,39.237346,-77.968071,0.000870,14.000000,0.675000,2.275000,11.725000,39.237339,-77.968046,39.237382,-77.968198
2944.523368,39.237319,-77.968083,0.000579,14.000000,0.675000,2.275000,11.725000,39.237311,-77.968059,39.237355,-77.968211
2947.716994,39.237291,-77.968096,0.000515,14.000000,0.675000,2.275000,11.725000,39.237284,-77.968071,39.237328,-77.968224
2950.910620,39.237264,-77.968109,0.000612,14.000000,0.675000,2.275000,11.725000,39.237257,-77.968084,39.237300,-77.968237
2954.104246,39.237237,-77.968121,0.000264,14.000000,0.675000,2.275000,11.725000,39.237230,-77.968096,39.237273,-77.968249
2957.297872,39.237210,-77.968134,0.000058,14.000000,0.675000,2.275000,11.725000,39.237203,-77.968109,39.237246,-77.968262
2960.491499,39.237183,-77.968146,0.000082,14.000000,0.675000,2.275000,11.725000,39.237176,-77.968121,39.237218,-77.968274
2963.685125,39.237155,-77.968159,0.000116,14.000000,0.675000,2.275000,11.725000,39.237148,-77.968134,39.237191,-77.968287
2966.878751,39.237128,-77.968171,0.000244,14.000000,0.675000,2.275000,11.725000,39.237121,-77.968146,39.237164,-77.968299
2970.072377,39.237101,-77.968184,0.000407,14.000000,0.675000,2.275000,11.725000,39.237094,-77.968159,39.237137,-77.968312
2973.266003,39.237074,-77.968196,0.000375,14.000000,0.675000,2.275000,11.725000,39.237067,-77.968171,39.237109,-77.968324
2976.459630,39.237047,-77.968208,0.000271,14.000000,0.675000,2.275000,11.725000,39.237040,-77.968183,39.237082,-77.968337
2979.653256,39.237019,-77.968221,0.000416,14.000000,0.675000,2.275000,11.725000,39.237012,-77.968196,39.237055,-77.968349
2982.846882,39.236992,-77.968233,0.000136,14.000000,0.675000,2.275000,11.725000,39.236985,-77.968208,39.237027,-77.968361
2986.040508,39.236965,-77.968245,-0.000069,14.000000,0.675000,2.275000,11.725000,39.236958,-77.968220,39.237000,-77.968374
2989.234135,39.236938,-77.968258,0.000290,14.000000,0.675000,2.275000,11.725000,39.236931,-77.968233,39.236973,-77.968386
2992.427761,39.236910,-77.968270,0.000229,14.000000,0.675000,2.275000,11.725000,39.236903,-77.968245,39.236945,-77.968398
2995.621387,39.236883,-77.968282,0.000034,14.000000,0.675000,2.275000,11.725000,39.236876,-77.968257,39.236918,-77.968410
2998.815013,39.236856,-77.968294,0.000026,14.000000,0.675000,2.275000,11.725000,39.236849,-77.968269,39.236891,-77.968423
3002.008639,39.236828,-77.968306,0.000061,14.000000,0.675000,2.275000,11.725000,39.236822,-77.968281,39.236863,-77.968435
3005.202266,39.236801,-77.968319,0.000212,14.000000,0.675000,2.275000,11.725000,39.236794,-77.968294,39.236836,-77.968447
3008.395892,39.236774,-77.968331,0.000075,14.000000,0.675000,2.275000,11.725000,39.236767,-77.968306,39.236809,-77.968459
3011.589518,39.236747,-77.968343,0.000174,14.000000,0.675000,2.275000,11.725000,39.236740,-77.968318,39.236781,-77.968471
3014.783144,39.236719,-77.968355,0.000255,14.000000,0.675000,2.275000,11.725000,39.236713,-77.968330,39.236754,-77.968484
3017.976770,39.236692,-77.968367,-0.000152,14.000000,0.675000,2.275000,11.725000,39.236685,-77.968342,39.236727,-77.968496
3021.170397,39.236665,-77.968379,-0.000095,14.000000,0.675000,2.275000,11.725000,39.236658,-77.968354,39.236700,-77.968508
3024.364023,39.236637,-77.968391,0.000303,14.000000,0.675000,2.275000,11.725000,39.236631,-77.968367,39.236672,-77.968520
3027.557649,39.236610,-77.968404,0.000469,14.000000,0.675000,2.275000,11.725000,39.236603,-77.968379,39.236645,-77.968532
3030.751275,39.236583,-77.968416,0.000179,14.000000,0.675000,2.275000,11.725000,39.236576,-77.968391,39.236617,-77.968544
3033.944901,39.236555,-77.968428,-0.000133,14.000000,0.675000,2.275000,11.725000,39.236549,-77.968403,39.236590,-77.968556
3037.138528,39.236528,-77.968440,0.000129,14.000000,0.675000,2.275000,11.725000,39.236521,-77.968415,39.236563,-77.968568
3040.332154,39.236501,-77.968452,0.000349,14.000000,0.675000,2.275000,11.725000,39.236494,-77.968427,39.236535,-77.968580
3043.525780,39.236473,-77.968464,0.000083,14.000000,0.675000,2.275000,11.725000,39.236467,-77.968439,39.236508,-77.968592
3046.719406,39.236446,-77.968476,-0.000083,14.000000,0.675000,2.275000,11.725000,39.236439,-77.968451,39.236481,-77.968604
3049.913033,39.236419,-77.968488,0.000071,14.000000,0.675000,2.275000,11.725000,39.236412,-77.968463,39.236453,-77.968616
3053.106659,39.236391,-77.968500,0.000028,14.000000,0.675000,2.275000,11.725000,39.236385,-77.968475,39.236426,-77.968628
3056.300285,39.236364,-77.968512,-0.000106,14.000000,0.675000,2.275000,11.725000,39.236357,-77.968487,39.236399,-77.968640
